cluster_id,count,latitude_mean,longitude_mean,latitude_min,latitude_max,longitude_min,longitude_max
147,6,-28.65159,151.940201,-28.65159,-28.65159,151.940201,151.940201
29,6,44.16074366666667,-77.37914766666667,44.160687,44.160772,-77.37923,-77.37909
25,6,44.172593,-77.388854,44.172593,44.172593,-77.388854,-77.388854
54,5,44.165175999999995,-77.39382079999999,44.165097,44.165351,-77.393853,-77.393703
232,5,42.788976,0.592746,42.788976,42.788976,0.592746,0.592746
4,5,-33.874416399999994,151.20661,-33.874624,-33.874263,151.206298,151.206872
5,5,-33.8599422,151.21515860000002,-33.859961,-33.859867,151.215069,151.215181
57,5,44.145607,-77.418133,44.145607,44.145607,-77.418133,-77.418133
38,5,44.163135,-77.366495,44.163135,44.163135,-77.366495,-77.366495
228,5,44.612467,2.029724,44.612467,44.612467,2.029724,2.029724
39,5,44.1626438,-77.3936966,44.16245,44.163089,-77.394025,-77.393392
42,5,44.1726668,-77.38132399999999,44.172431,44.172816,-77.381633,-77.381021
53,5,44.1717482,-77.350513,44.171569,44.171793,-77.350745,-77.350455
50,5,44.202658,-77.391976,44.202658,44.202658,-77.391976,-77.391976
59,5,44.1698286,-77.37090660000001,44.169692,44.170053,-77.371087,-77.370486
27,5,44.17554,-77.391021,44.17554,44.17554,-77.391021,-77.391021
20,5,44.1714788,-77.38579179999999,44.171362,44.171508,-77.385903,-77.385764
43,5,44.1685562,-77.38835839999999,44.168299,44.168845,-77.388478,-77.388274
58,5,44.1796046,-77.37447239999999,44.179326,44.179788,-77.374852,-77.37408
164,5,-27.46859,153.005295,-27.46859,-27.46859,153.005295,153.005295
206,5,37.5472736,-77.4372484,37.547205,37.547344,-77.437305,-77.437195
132,5,54.987513,-1.618938,54.987513,54.987513,-1.618938,-1.618938
166,5,55.7041272,13.193689000000001,55.704096,55.704168,13.193389,13.193839
161,5,-19.25508,146.822276,-19.25508,-19.25508,146.822276,146.822276
157,5,-20.01466,148.22084,-20.01466,-20.01466,148.22084,148.22084
156,5,-27.315800000000003,153.066299,-27.3158,-27.3158,153.066299,153.066299
170,5,3.35,101.25,3.35,3.35,101.25,101.25
137,5,-33.8656536,151.2126086,-33.865934,-33.865498,151.212419,151.212837
136,5,-33.873597,151.21239100000003,-33.873791,-33.873515,151.212075,151.21259
176,5,-33.966667,25.583333,-33.966667,-33.966667,25.583333,25.583333
135,5,-33.864553,151.21369,-33.864553,-33.864553,151.21369,151.21369
178,5,-33.916667,18.416666,-33.916667,-33.916667,18.416666,18.416666
180,5,5.083333,-1.35,5.083333,5.083333,-1.35,-1.35
125,5,51.500789,-0.142264,51.500789,51.500789,-0.142264,-0.142264
114,5,49.44038,1.08933,49.44038,49.44038,1.08933,1.08933
189,5,35.084178,-106.64864300000002,35.084178,35.084178,-106.648643,-106.648643
112,5,48.85284,1.44041,48.85284,48.85284,1.44041,1.44041
111,5,44.1033,1.08214,44.1033,44.1033,1.08214,1.08214
106,5,49.18436,-0.36111,49.18436,49.18436,-0.36111,-0.36111
195,5,34.167881,-111.930702,34.167881,34.167881,-111.930702,-111.930702
100,5,56.117358,-3.9395200000000004,56.117358,56.117358,-3.93952,-3.93952
198,5,38.889252,-77.04974059999999,38.889112,38.889383,-77.050187,-77.049433
165,5,57.644151,18.2976818,57.644103,57.644183,18.297643,18.29774
85,5,45.438254,12.318457,45.438254,45.438254,12.318457,12.318457
83,5,41.90311,12.49576,41.90311,41.90311,12.49576,12.49576
95,5,51.86381,-2.249624,51.86381,51.86381,-2.249624,-2.249624
60,4,44.16967075,-77.38202199999999,44.169569,44.169815,-77.382491,-77.38174
